time;longitude;latitude;altitude;speed;bearing;accuracy
=60*60*16+60*34+27.191;8.308755;46.99513;528.0;12.25;221.0;3.9
=60*60*16+60*34+27.200;8.308755;46.99513;528.0;12.25;221.0;3.0
=60*60*16+60*34+28.199;8.308635;46.995037;527.0;12.75;222.0;4.0
=60*60*16+60*34+28.288;8.308635;46.995037;527.0;12.75;222.0;4.0
=60*60*16+60*34+29.261;8.308523;46.994954;527.0;12.75;222.0;5.0
=60*60*16+60*34+29.286;8.308523;46.994954;527.0;12.75;222.0;5.0
=60*60*16+60*34+30.203;8.308389;46.994888;529.0;13.25;225.0;4.0
=60*60*16+60*34+30.253;8.308389;46.994888;529.0;13.25;225.0;4.0
=60*60*16+60*34+31.258;8.308269;46.994807;529.0;13.0;225.0;4.0
=60*60*16+60*34+32.203;8.308141;46.994725;528.0;13.0;226.0;4.0
=60*60*16+60*34+32.251;8.308141;46.994725;528.0;13.0;226.0;4.0
=60*60*16+60*34+33.199;8.308022;46.994656;527.0;12.25;227.0;3.9
=60*60*16+60*34+33.295;8.308022;46.994656;527.0;12.25;227.0;3.0
=60*60*16+60*34+34.201;8.307912;46.99458;527.0;12.25;227.0;4.0
=60*60*16+60*34+34.383;8.307912;46.99458;527.0;12.25;227.0;4.0
=60*60*16+60*34+35.201;8.307789;46.994499;526.0;12.0;227.0;4.0
=60*60*16+60*34+35.282;8.307789;46.994499;526.0;12.0;227.0;4.0
=60*60*16+60*34+36.199;8.307682;46.994432;525.0;11.25;227.0;3.9
=60*60*16+60*34+37.242;8.307584;46.994373;524.0;10.5;226.0;3.0
=60*60*16+60*34+38.201;8.307497;46.99431;523.0;9.75;223.0;3.9
=60*60*16+60*34+39.200;8.307419;46.994239;523.0;9.5;220.0;4.0
=60*60*16+60*34+40.202;8.30737;46.994167;523.0;9.5;209.0;4.0
=60*60*16+60*34+41.228;8.307346;46.994084;522.0;9.5;197.0;4.0
=60*60*16+60*34+42.201;8.307332;46.993995;521.0;10.0;189.0;4.0
